region,year,listing_count,avg_price,median_price,min_price,max_price,price_stddev,yoy_growth_pct
RI,2000.0,12,146955.66583333333,146535.245,142332.68,152868.22,3446.547208385011,24.935145267183923
SC,2000.0,60,123444.726,121079.15,57790.38,199332.04,43443.85480689,-17.371994703390303
CA,2000.0,240,217280.71925,220270.72499999998,96249.21,445050.25,82368.11947373,81.92291984210327
TN,2000.0,300,96990.58296666667,96297.68,67573.63,147334.1,16734.55286038,-56.2821250985577
UT,2000.0,32,175010.2521875,177451.995,161533.24,185301.32,8994.160819645705,84.27442384904809
TX,2000.0,108,109397.7575,98079.33,82167.42,180981.67,29655.77751311,-44.72909138046038
NC,2000.0,261,110494.23245210727,99831.99,52578.69,226530.22,38933.41207872,1.7869820277116588
HI,2000.0,36,195344.06722222222,197094.14,156817.06,232155.13,28042.28783523,97.42583514562817
NJ,2000.0,48,135951.39791666667,134503.56,99657.06,183076.99,29864.37528023,-31.7566925125222
AZ,2000.0,96,111606.15958333333,102273.66500000001,73771.93,153719.09,25037.15849225,-23.96211297306926
MA,2000.0,72,204205.64625,186969.33000000002,128470.71,379916.37,76927.90090604,82.81277980993444
ID,2000.0,12,112858.53666666667,112460.285,111595.72,115167.18,1269.933358511621,-39.85094507211424
ME,2000.0,48,101752.151875,88754.16,84440.1,150126.44,24631.47640023,-21.07955266163517
LA,2000.0,48,100806.77708333333,92379.15,76128.28,146801.23,26013.3675389,4.084304330073074
MI,2000.0,264,112348.60579545454,109089.42000000001,71199.91,199216.74,26666.13080612,18.088789515816096
IL,2000.0,88,92909.8175,75931.725,46097.57,167374.56,37760.32219448,-30.394968641321963
KY,2000.0,192,81889.72776041667,84671.97,45212.63,129187.54,22421.09115231,11.510663033139302
WV,2000.0,60,77837.04366666666,77502.97,59728.9,105034.1,14709.19246445,-8.46679249343083
MN,2000.0,40,121285.62075,131705.8,71941.78,163555.1,32697.21979392,69.93645533842121
AL,2000.0,100,106455.4263,106105.92,53278.62,142838.15,25652.55276676,-19.43716981332636
IN,2000.0,58,101388.84327586206,100538.37,81429.54,116190.92,10687.91244506,-5.247162458041932
MO,2000.0,43,96300.22395348837,113764.05,56847.56,122020.5,26149.03722482,13.154858189962715
IA,2000.0,48,97010.8575,97879.265,70767.27,123437.99,20841.08268669,-13.962921502882509
KS,2000.0,12,83570.16333333333,83323.3,82652.87,85181.17,932.536522661161,-14.87134685778443
MD,2000.0,72,132410.1859722222,138093.82,70942.61,205219.6,45942.83765067,65.73253819759898
KS,2001.0,12,87649.50666666667,87753.27,85714.53,89184.87,1106.112405329695,-36.453876067734235
MA,2001.0,72,232072.3475,214472.715,132729.49,433775.66,93910.15777449,144.40424271369034
RI,2001.0,12,163370.99666666667,162605.47999999998,154097.6,174663.13,6929.533726553499,-24.18360535977736
TN,2001.0,300,100974.2027,99931.98499999999,72321.6,151543.71,17291.81989675,-38.543285872038254
CO,2001.0,156,194646.68692307692,193061.91499999998,98633.26,336660.46,68877.11702112,93.1933154334921
KY,2001.0,192,85922.9003125,88575.965,47674.37,133747.28,23663.11662034,-54.12043592336686
LA,2001.0,48,106598.09625,95622.895,79078.78,158096.04,28766.06258874,7.95580381201606
SC,2001.0,62,132892.94096774195,124730.54000000001,59291.0,220331.1,49712.5292269,30.440037398993212
OR,2001.0,168,143111.22136904762,151671.895,82468.08,199151.5,35806.95094309,21.599645924727007
CA,2001.0,312,230817.89955128205,216222.7,95700.78,487945.24,103470.33437134,42.559503196027215
OK,2001.0,240,77469.601375,74763.055,49504.1,112254.85,16306.05017434,-65.42312393657096
IL,2001.0,96,99117.15229166667,81411.15,48546.94,181447.04,38799.00153994,8.892219559513714
PA,2001.0,188,102338.53994680851,108548.515,53496.69,138475.5,23155.96589159,33.33372025822017
MO,2001.0,48,101179.419375,107977.405,58837.31,130355.46,27290.47510904,-0.5261334067997114
OH,2001.0,393,95144.10908396947,91817.22,56034.59,138465.9,18866.5560057,-14.966265395987243
NC,2001.0,264,117101.90962121212,104975.72,54934.52,241569.44,42606.45824968,14.331189726720117
NE,2001.0,36,111707.24888888889,125233.595,78742.77,132045.08,22744.06177914,19.2976766437039
GA,2001.0,396,102791.55833333333,96649.38500000001,60729.84,169228.78,27208.57450313,-22.824714087302212
MN,2001.0,60,135563.37166666667,141150.06,77727.44,185710.87,31195.93629285,46.0434124852424
NH,2001.0,60,129940.8505,129983.51999999999,75538.76,190761.02,33684.02309884,-7.911112471365589
TX,2001.0,120,110548.18091666666,96875.875,85898.65,183637.06,28626.03502332,-25.470648125239258
NJ,2001.0,48,149007.17979166665,145620.59,102350.64,209363.11,37497.36126772,50.31667068813572
FL,2001.0,300,115271.02453333333,114437.60500000001,58782.83,212734.81,29462.17442733,-21.41385706513068
IA,2001.0,48,101357.75583333333,101595.995,73814.07,129354.02,21846.39055884,-11.221494892347684
MI,2001.0,264,119406.14431818182,116667.95999999999,75859.36,216007.77,29353.56850076,14.835196013386165
NV,2001.0,48,188984.43479166666,178324.86,147450.89,257363.25,37367.74666424,52.84818556868569
NY,2001.0,312,89602.03583333333,79014.17499999999,50002.27,274290.06,40104.03695329,-55.69088067698469
IN,2001.0,76,112765.95381578947,104752.73999999999,84553.58,186024.8,26106.14613969,32.57461714939125
ME,2001.0,48,111530.21375,96483.36499999999,90077.75,170082.44,28739.17311162,-7.894184915831315
MD,2001.0,72,140505.08152777777,145174.055,73933.66,224868.65,49349.27840316,50.46537296869778
HI,2001.0,36,211977.27138888888,222145.4,168658.76,242358.93,26656.97799508,53.020042045391655
ID,2001.0,24,134852.21,134631.225,115943.26,153722.99,16665.31008791,-39.39499760067054
CT,2001.0,60,194303.56866666666,167907.4,157339.95,320003.68,56538.33894496,24.716535855630806
NaN,2001.0,12,135603.11666666667,135486.265,131437.79,140019.76,2866.186276844144,-19.30893754533748
DE,2001.0,12,154677.12166666667,154924.04499999998,146824.39,162699.63,5106.127177125418,14.34667934790288
VA,2001.0,120,124589.8995,124637.275,67085.11,218539.09,42403.34361587,-19.549431464947865
AZ,2001.0,96,118047.59239583333,107969.905,77960.91,163175.71,25836.91428464,-13.372700903481716
WA,2001.0,114,155931.61649122808,150941.14500000002,118055.42,248761.82,34333.00584932,39.79927554812615
AL,2001.0,121,107213.85719008265,106505.55,55418.35,148851.08,26169.19764779,-29.439020752095136
UT,2001.0,36,181198.33666666667,185501.685,168646.18,191622.89,8911.792324026472,74.17090940331276
WV,2001.0,60,81897.607,81736.525,61635.36,109880.38,15771.79421674,-55.937583531923174
VT,2001.0,48,132910.65375,131587.49,107560.2,164014.52,17029.89192904,60.98982676349405
AR,2001.0,216,84559.80777777778,88367.81,48581.72,132359.0,20255.77172656,-32.84482438262179
WI,2001.0,63,138048.56619047618,157546.92,79337.63,183114.05,36493.590245,78.2854186383028
AK,2001.0,12,164384.6325,167549.245,145515.88,174767.57,9947.799526453646,6.348791204550364
AR,2002.0,216,86711.28712962964,89294.22,50210.77,137360.59,20837.10698831,-46.7056864386348
NJ,2002.0,48,166030.18791666668,164213.775,106874.17,244163.3,47789.0840982,83.90190876856308
FL,2002.0,300,124787.93746666667,123823.51000000001,64627.19,232391.99,32480.85012628,-24.59614913547904
WA,2002.0,120,161923.55591666666,154720.675,118107.51,257562.32,35991.62534348,24.952583721782705
CO,2002.0,156,204268.53185897437,207671.46000000002,102603.89,343778.32,71405.91077263,34.223470780488796
OR,2002.0,165,149667.17454545453,156830.47,87416.62,210355.93,38044.01400986,-24.481452578991846
NaN,2002.0,12,145029.97333333333,144748.445,140683.05,150064.77,3148.270557312764,-7.703876038884527
OK,2002.0,240,80146.761625,77360.95999999999,51559.43,115532.97,16876.20544426,-46.554893905768736
NV,2002.0,48,203094.80854166666,188965.2,156826.25,281632.23,41945.21200585,144.2642904121149
NY,2002.0,309,97019.56194174757,88977.75,55217.06,312092.66,45700.2096106,-52.913155438144166
CT,2002.0,60,215020.075,185900.94,173837.68,360151.88,63462.92926028,108.92969309743168
NH,2002.0,60,146681.1575,145564.41,82636.68,217006.34,40195.92831401,-21.69786231312224
VT,2002.0,48,144243.08333333334,141924.66999999998,115347.59,180140.59,20002.51918932,-2.500432626354221
OH,2002.0,396,98361.3852020202,95323.955,58519.89,143585.28,19372.0439983,-32.83482357225138
NM,2002.0,24,173549.985,153567.25,138955.66,229101.63,37863.38757266,61.100376080702915
DE,2002.0,12,174238.6775,174189.61,164403.39,185008.97,6645.28989689707,13.428878878797402
AZ,2002.0,105,124433.11628571429,115015.49,84773.92,173293.45,26014.01097843,-33.971096209469664
VA,2002.0,120,134420.29208333333,132054.86,69561.76,250655.08,49360.43962721,14.814847982649981
AK,2002.0,12,179900.14583333334,180455.37,175758.54,182872.43,2377.336023453212,36.65182031164929
KS,2002.0,21,93495.6480952381,92235.4,89550.99,98853.44,2989.508530848539,-48.887417426258914
KY,2002.0,192,88493.62458333334,91493.07,48455.77,138490.49,24563.05588343,-0.8048211424246943
IL,2002.0,103,104548.6436893204,86917.15,51664.95,195378.86,40221.07559533,-5.001384257845986
LA,2002.0,57,115957.58192982456,109001.57,82817.95,166180.47,30390.16945776,25.408587373147885
MA,2002.0,72,262426.22805555555,249505.255,142143.72,491991.15,109978.30315833,128.90060666098663
WY,2002.0,9,145882.64444444445,145876.89,144671.85,147552.6,905.293345097476,-41.53354004507841
ID,2002.0,24,138950.82166666666,139168.715,120529.45,156955.33,17080.47848431,-4.598517969501559
MD,2002.0,72,151120.35638888887,154678.33500000002,78814.87,244043.87,53087.58764847,11.144473095120567
ME,2002.0,48,122949.025625,104549.935,97221.46,192741.43,34910.21507438,-32.40815851812733
WV,2002.0,60,84437.16166666667,84476.23999999999,63668.51,114311.47,16339.66788394,-19.200102802550767
MI,2002.0,264,124675.17193181819,122826.5,79909.18,228688.33,31660.27580269,45.39768815468115
IA,2002.0,48,105288.228125,104926.75,77221.28,135230.81,23369.29159338,-14.573198780393481
MN,2002.0,60,146683.93183333334,151093.505,84060.49,202414.55,34981.1943335,43.99903265849747
MO,2002.0,48,106332.73125,113181.23000000001,61224.25,139543.07,29937.48532616,-25.091929001183733
HI,2002.0,36,231573.39027777777,245134.42,182926.88,266486.91,29331.57554963,116.58575366251101
AL,2002.0,140,106408.2945,106167.42,58004.9,153202.98,27219.33363192,-56.6901212812138
NC,2002.0,264,120918.09321969697,107604.31,56321.3,260071.18,45076.71645439,1.3534189678905184
WI,2002.0,80,143509.201875,147907.125,83815.22,187849.03,33412.95544448,37.45464749506782
GA,2002.0,395,106870.35091139241,99911.85,63840.07,175398.58,28313.08849344,-32.449603087072376
NE,2002.0,36,115497.69472222222,129426.32999999999,81622.03,137036.17,23660.75053678,29.540519968352076
IN,2002.0,96,113789.83239583333,106379.225,80776.75,183286.46,28498.71562823,-17.80712239928304
RI,2002.0,12,190513.4175,188932.315,176524.48,207794.7,10669.38317181,77.6026428092515
TN,2002.0,300,103353.43823333333,101294.56,73939.96,154988.57,18123.22049687,-46.38579429887365
PA,2002.0,197,109361.5459390863,114479.09,56835.2,153423.26,24939.98995196,13.016029686095676
UT,2002.0,36,182547.2925,186926.775,169348.21,191656.63,9230.3049774807,63.2846443835289
SC,2002.0,72,138299.2086111111,135354.22999999998,63294.69,224872.14,47183.35189397,-27.589704578169727
CA,2002.0,312,256298.78096153846,245441.215,103290.88,483245.36,109543.01408184,81.33250434803554
TX,2002.0,120,112108.83991666666,96726.14499999999,88604.15,183425.11,28298.29047058,-60.59091175864657
MS,2003.0,9,107737.17,107631.2,106864.37,108634.14,651.974646094463,11.274154469817855
GA,2003.0,395,110502.95643037975,102908.31,66178.35,179402.89,29193.23841604,-4.388030608225124
UT,2003.0,36,181624.60305555555,186705.52,168116.03,189505.83,8726.727245789822,81.42900218650952
NE,2003.0,48,113031.4375,112102.29500000001,83639.83,143776.57,25368.74574638,-39.95769648374616
CA,2003.0,336,285183.4360714286,271242.315,108536.66,491621.48,119844.19463045,141.95964498318256
NH,2003.0,60,166607.62433333334,168701.86,90266.56,245459.49,48605.15144654,-37.80400377426362
WA,2003.0,114,172060.88938596493,167728.54499999998,122173.38,272305.12,39253.9908242,-0.5769438463808285
NJ,2003.0,48,191782.07645833332,190240.84,109357.21,298191.77,62380.76154323,13.42186268890606
FL,2003.0,297,137492.1724915825,137493.17,70886.61,257004.35,36565.0911388,-27.726785689129617
SC,2003.0,82,139825.36402439023,129731.76999999999,67424.24,237704.91,46816.85696657,-5.644934944768543
NM,2003.0,36,179496.81416666668,157926.135,141427.82,245131.37,41947.48509326,21.73281456038103
NV,2003.0,48,224365.551875,208346.54499999998,168939.76,325415.6,49345.31486729,31.92657757374988
DE,2003.0,12,201728.115,201317.15000000002,187282.64,217397.43,10070.5703614,-3.373895641034008
VT,2003.0,44,157912.39636363636,154387.41499999998,123471.77,194533.71,21849.93898659,-23.31134481091156
AL,2003.0,154,106883.42071428572,102287.505,59736.09,158376.15,28284.78993091,-33.74621564847108
HI,2003.0,36,264471.2791666667,275671.66500000004,202496.29,314345.85,35837.38172385,169.50668608057265
PA,2003.0,204,117894.37647058823,122687.985,60883.38,173455.72,28251.39694527,-55.4948873690011
WI,2003.0,83,150450.49975903615,150156.49,89280.75,197116.55,35108.29947365,22.388912003078374
AZ,2003.0,108,132597.3175925926,122566.045,90264.86,190340.42,28102.46430587,-18.37446053780293
IN,2003.0,113,116057.9996460177,109661.42,80063.49,183457.03,27348.93725387,-10.528711275622872
AK,2003.0,12,188890.52416666667,188313.04499999998,183454.0,195879.28,4485.998461742245,71.72223832228323
KS,2003.0,24,95689.16166666667,95474.195,92730.88,98515.66,1844.475187384033,-49.300275506670275
KY,2003.0,198,90613.08803030303,92689.85,48978.1,144001.0,25726.28100995,-2.916332523149323
IL,2003.0,108,108523.14416666667,92064.405,53624.8,209764.53,42559.9199753,-0.6747718331618913
TX,2003.0,120,115026.84358333334,100299.195,91627.3,182435.85,27601.63839587,8.944596991638631
LA,2003.0,64,122113.686875,115137.3,86996.25,176312.85,30176.03009478,14.793842562744386
NY,2003.0,302,105796.11821192053,88758.67,60193.74,355437.02,53941.30527618,-22.91058588311521
WY,2003.0,12,150569.18666666668,150549.77000000002,146971.44,154561.2,2716.424762632388,69.61697375591594
ID,2003.0,24,143025.06625,143331.155,124678.14,160948.65,16321.76313176,-4.794836285701409
MD,2003.0,68,171299.38352941177,179565.675,81049.19,286068.93,59317.75454976,25.280281875911758
WV,2003.0,60,87605.2865,87522.0,65828.2,119587.11,17155.08708221,-51.25905883738638
ME,2003.0,48,135214.3375,112828.36499999999,106322.62,219453.38,41697.48097448,28.9142901213409
TN,2003.0,285,106614.93487719298,102697.7,75501.65,158757.17,19021.47289379,-8.97882815194565
MI,2003.0,271,127974.54734317343,123430.85,82733.95,239557.55,33319.40655095,20.18852418311219
IA,2003.0,48,108988.79145833333,108616.64,79005.58,142101.77,25038.79448997,-12.00203190693413
MN,2003.0,67,157475.4180597015,158066.59,89178.44,220113.08,37105.58905291,45.527048157630354
MA,2003.0,72,297152.80833333335,290650.37,158914.43,546269.97,123470.97734373,83.87843376642718
MO,2003.0,50,111235.028,108035.25,63408.12,150167.28,31964.22786971,-62.82982540156408
NC,2003.0,272,126451.33709558824,111380.83499999999,58460.82,279096.04,48219.60927036,3.09675314307134
OH,2003.0,400,101628.488025,98244.32999999999,60795.49,149288.73,20104.15296645,-11.794223844703634
OR,2003.0,171,157999.79567251462,164393.33,88999.32,225271.16,40750.61032082,67.33111213644595
AR,2003.0,223,88362.3531838565,90753.48,52169.01,134420.61,19500.13269871,-44.79491351626006
CO,2003.0,164,213891.41762195123,214760.16,103927.27,357408.63,73080.89976777,136.6412395425498
OK,2003.0,235,82733.06740425531,79866.35,53455.86,118198.85,17487.45483053,-62.81137525693779
CT,2003.0,60,242178.94483333334,208418.89500000002,191483.38,405246.95,72604.88315411,160.9595843556141
RI,2003.0,12,228412.08333333334,228076.08,210333.79,247267.88,12342.1579626,9.431575289754779
VA,2003.0,120,146064.23116666666,138964.735,71508.49,287616.77,58119.15893228,-39.0708859078953
NaN,2003.0,12,156118.76666666666,155848.35,150901.32,161985.64,3707.243308552335,12.149568018101874
MN,2004.0,95,167310.44610526317,171079.81,95549.08,237574.01,37066.94894614,9.773257143883773
FL,2004.0,335,150072.48185074626,152913.24,78694.32,302011.23,44737.19232371,-10.618769099638358
NJ,2004.0,48,226211.2575,222462.09,119666.75,366992.59,77606.12815057,45.482555990573495
MS,2004.0,12,110190.28416666666,109787.63500000001,108621.78,112613.42,1429.489344018653,-50.648834145179514
ID,2004.0,24,150070.00833333333,152375.93,130082.09,165926.65,14180.58375056,38.79152237863579
OH,2004.0,402,105499.70116915423,101661.68,63310.8,154256.8,20625.03348433,-33.282323527082
WA,2004.0,120,187561.1355,182175.195,126252.12,300178.53,43535.78943218,79.19750588422305
CA,2004.0,347,331422.26982708933,311022.44,120530.37,590441.2,138631.23584306,70.72710694779273
NH,2004.0,60,186663.5435,196985.34000000003,97862.86,268891.25,53935.28918675,-36.665232257839655
MD,2004.0,72,192526.48888888888,192819.465,81520.12,333136.87,77264.4472207,-2.114814736974857
WV,2004.0,66,91499.8612121212,90144.875,68561.15,129995.75,17795.68630851,-53.24907939144007
ME,2004.0,48,152967.03979166667,128326.905,116893.43,248806.32,48751.03635749,42.35629590700525
NE,2004.0,68,112250.09117647058,99101.04000000001,86529.99,148274.38,24223.04840829,-22.77454209621902
CT,2004.0,60,271391.603,235257.865,210270.71,457268.93,80885.07128647,137.39192343491044
MO,2004.0,69,113126.25869565217,108530.03,65842.31,159092.95,29916.2421233,-53.86762946267491
GA,2004.0,381,115907.14524934383,107374.55,67393.24,184328.53,30776.38062001,-1.0646638538660658
IA,2004.0,48,113211.34520833334,112551.14499999999,81785.92,148140.93,26041.13308409,4.821063278030024
AR,2004.0,224,93333.86575892857,94743.09,54395.21,149558.59,21641.23255072,-15.822189103451588
SC,2004.0,93,141452.92107526882,131271.44,71212.17,258200.84,51314.14912611,38.5551600649715
OK,2004.0,237,85413.71388185654,82423.28,55205.08,120778.34,17869.82992341,-37.21156711619832
MI,2004.0,276,133282.13463768116,129629.32,85860.34,246868.34,34641.9770163,57.272702566556454
NC,2004.0,285,130388.55645614034,115420.49,59981.36,306969.06,52823.75294359,-10.961123609998113
WI,2004.0,84,161127.23214285713,162593.425,92531.26,216111.6,39363.01948208,40.870503148964254
AL,2004.0,156,110568.7526923077,104809.14,61484.6,171966.51,29926.09271402,-35.539127735331235
TN,2004.0,298,109360.43436241611,105221.87,78528.81,165088.92,20278.13670056,0.39379199180529234
MA,2004.0,72,332878.4448611111,324080.005,175019.3,620832.95,140236.17898627,207.99681187950756
RI,2004.0,12,267742.12666666665,267927.575,249900.68,285559.33,12132.2794248,-17.326718444107648
HI,2004.0,36,325897.82416666666,328700.225,244505.72,398692.36,43098.34091083,22.682491714411988
KS,2004.0,29,107547.8451724138,99836.88,96321.35,143422.58,16539.28304256,-69.62676858526639
CO,2004.0,168,222912.27976190476,230910.465,105230.72,385959.74,75443.37322526,131.28774156403927
OR,2004.0,177,174954.0727118644,176532.44,95714.54,255956.39,45976.73392154,-23.549398248364362
NV,2004.0,47,276728.1817021277,259229.39,192857.4,398771.95,60344.7824724,46.8451860745821
KY,2004.0,204,93240.90132352941,95968.705,49639.59,151212.18,26996.52757244,-62.97923433758803
DE,2004.0,12,235256.76166666666,234283.7,219866.04,252734.65,10872.11691294,144.12510307396565
AZ,2004.0,105,147426.32895238095,136390.2,96864.33,220939.12,32331.6964573,-41.78417021756101
NaN,2004.0,12,170778.6975,170439.45,162976.17,179518.14,5614.707280400652,24.964586898472184
IL,2004.0,114,115083.0299122807,99890.39499999999,57030.54,227441.72,44700.00180562,-41.39244464823138
AK,2004.0,12,202886.85,201921.02,196234.68,211964.15,5340.636953808208,102.14257837302578
TX,2004.0,121,120333.03347107438,107450.94,93300.56,188923.2,27866.03294264,-46.78565906610416
VT,2004.0,48,174218.84625,172034.21000000002,137009.76,219231.53,24325.36914188,60.104890659867685
VA,2004.0,121,165317.52528925618,155990.26,74620.64,350270.78,70996.25903813,-9.326023004378026
NM,2004.0,36,194960.29805555556,169145.39500000002,146412.66,280821.83,51759.56971032,8.433305387144042
LA,2004.0,72,128442.1725,127134.67499999999,91145.09,186437.22,30138.62828035,-24.83704625833888
UT,2004.0,36,183826.31972222222,188818.22,170810.44,190824.79,7945.619794078635,48.51827009429175
IN,2004.0,132,118995.15575757576,113638.695,80284.12,187820.6,26886.10612665,-39.8158212697906
WY,2004.0,12,160922.47416666668,160555.27,155069.13,167981.02,4547.687820653197,41.28573898177903
PA,2004.0,205,128293.31229268292,133758.69,65448.17,198948.24,32763.10550673,-16.689941102524998
NY,2004.0,310,115792.26867741936,96667.57,66180.24,404789.0,61688.57376637,-27.72987684015147
MN,2005.0,118,174768.43779661017,177974.685,102495.23,251782.66,39036.12892715,84.1100226270299
WI,2005.0,94,174299.6620212766,172954.065,96961.9,229711.11,40656.15762631,-2.82097423012716
MI,2005.0,275,138351.1245090909,135337.05,89572.27,252582.99,35124.48636352,-21.749714295526978
AZ,2005.0,107,184454.18056074766,176774.64,116294.36,289205.69,45160.24223887,30.618068001334464
MO,2005.0,75,121138.2536,117468.54,69763.6,168174.73,31128.67574291,-33.54898643832623
HI,2005.0,36,415457.76694444445,413478.66000000003,321039.36,488117.17,45540.91685773,251.99097562632517
IN,2005.0,138,119655.70688405797,113759.45,80212.09,190822.36,23876.50228906,-72.48722582200494
OR,2005.0,180,205602.891,210942.60499999998,107725.86,312606.56,55188.35224287,85.42864351049515
KS,2005.0,43,115424.08930232558,107782.14,85094.46,153547.2,23374.81730237,-48.90451836413037
MA,2005.0,72,367226.47458333336,350194.24,197048.87,672178.78,154768.90539609,224.90934026732072
TX,2005.0,143,125425.63097902098,117276.51,97047.45,195075.94,26818.90569284,-66.51101114627129
ID,2005.0,29,156213.0127586207,152480.91,134198.61,189644.29,16632.20133712,30.0182875496551
LA,2005.0,77,135780.83974025975,131580.93,94321.8,201881.05,31060.6469854,-13.70662071730816
WV,2005.0,70,97980.86328571428,92458.67499999999,73827.23,146997.23,20229.35991102,-29.732465791205463
WY,2005.0,12,172661.55083333334,172753.44,169272.51,175535.01,1954.237689244294,86.84394947256169
PA,2005.0,234,141376.35132478632,150532.065,72933.25,228156.87,38544.55286615,-12.863057893376828
MD,2005.0,68,232782.0811764706,247405.72,87078.26,392466.16,95399.75014151,64.35416600443233
IL,2005.0,130,120935.18315384616,108714.11,56669.09,248129.99,45860.3675384,-56.05836841605765
VA,2005.0,129,192854.60519379846,166566.46,79875.22,424268.46,86391.05680183,53.21512543311995
KY,2005.0,200,97568.29865,96988.88500000001,50820.83,156427.08,28733.91823236,-41.77165979273377
ME,2005.0,48,171849.248125,144435.18,133357.16,270263.18,53057.14344999,48.91931173350428
TN,2005.0,296,115043.2931081081,111165.815,83237.74,176942.49,22512.81071317,-23.0341146803708
AK,2005.0,41,220031.75,215380.23,180136.58,274125.2,29023.78675642,93.74681866003502
IA,2005.0,44,119857.30795454545,134029.695,87788.35,153756.78,26531.78189588,-37.770660287622505
OK,2005.0,237,89686.94101265822,86209.25,57488.63,124314.33,18249.1244557,-35.678992629208025
CO,2005.0,162,236611.79469135802,248820.875,109198.07,464436.34,84614.21053533,188.6243355556393
NH,2005.0,60,206885.0685,218660.775,112266.32,290587.57,57366.66491118,-12.12120968548157
NE,2005.0,72,117333.13513888889,108668.36,90462.31,153405.83,23595.24517989,-50.302764636227046
WA,2005.0,119,214940.46302521008,207217.06,133309.46,352662.67,54960.79864698,90.68757456172153
OH,2005.0,390,108777.15433333334,105185.34,67432.47,158554.74,21220.18458264,-49.23905396592346
CT,2005.0,60,305289.18666666665,264583.69,233555.58,501800.69,91243.97273172,151.54046181720764
VT,2005.0,48,194690.69104166667,192344.15000000002,147145.97,247710.48,29838.12099071,-27.30309642291253
NV,2005.0,48,352374.47708333336,326455.54000000004,264130.82,486337.86,65663.82455176,69.72470439054163
GA,2005.0,377,119111.88599469497,109933.75,70921.41,191407.29,31527.07852634,-66.32504689612558
CA,2005.0,348,405086.91146551725,385393.115,146763.17,683636.44,159484.93526277,250.5685151284296
NJ,2005.0,48,268809.89145833335,261296.65,144634.9,430492.95,90879.20281274,-32.19996937412854
DE,2005.0,12,277292.7866666667,276495.68,255820.03,299668.72,15194.3102061,5.81677185681484
NaN,2005.0,12,190722.82166666666,190627.91999999998,180999.11,200637.8,6650.584625315874,-31.055732950330373
AR,2005.0,227,100116.3206167401,101583.61,57130.95,168278.21,23832.83925339,-46.71105365887641
FL,2005.0,335,184972.4341791045,183910.58,93580.76,408143.88,60316.50727289,81.0435561406018
SC,2005.0,100,151819.9893,134149.02000000002,75706.52,304637.3,60872.61696382,-27.057475431810374
AL,2005.0,150,118105.9502,114553.98999999999,63680.77,201816.62,35246.74070217,-14.60691252161218
UT,2005.0,47,189269.68489361703,191652.61,173723.99,202494.38,8941.558937858137,67.30330388317334
NC,2005.0,282,140733.89304964538,124362.03,63224.07,353987.98,61116.88906638,-35.11070368412932
RI,2005.0,12,300792.24083333334,301705.725,288185.82,311154.48,7491.120140119183,142.60276629450323
MT,2005.0,11,206933.78363636363,206930.03,205238.83,209360.77,1250.599827205111,-31.413290218473644
NY,2005.0,312,128190.03060897435,106682.54999999999,67665.69,460369.96,71749.16838044,-48.445109682727065
NM,2005.0,36,214192.7913888889,187966.135,154217.59,306381.99,58879.74787384,76.19201547019642
MS,2005.0,12,116194.615,115944.98999999999,112836.53,120021.88,2503.842817788471,-38.316021659965514
UT,2006.0,48,204608.73916666667,205583.36,177763.94,231505.36,14163.83793169,77.31111969564188
WY,2006.0,12,180934.6175,180880.31,175810.2,187458.22,4086.360685453556,-12.016074647286622
CT,2006.0,60,327154.57,288034.545,257268.33,514039.72,92886.15115025,59.24040875427512
